trade_id,india_vix,cpra_grade,historical_fail_rate,trade_size_inr,epi_flag,peak_margin_utilization,settlement_fail
TXN-IN-100000,19.33,CPRA_2,0.01283,242437.13,0,0.2552457555488326,0
TXN-IN-100001,22.13,CPRA_1,0.00028,287065.42,1,0.9107043283412846,0
TXN-IN-100002,18.37,CPRA_1,0.00183,1238097.16,1,0.7145282355025042,0
TXN-IN-100003,17.64,CPRA_1,0.004,40255.3,1,0.628344520857907,0
TXN-IN-100004,23.04,CPRA_3,0.04365,66782.94,0,0.5396901376037292,0
TXN-IN-100005,18.05,CPRA_2,0.00714,414152.79,0,0.552032609830656,0
TXN-IN-100006,20.29,CPRA_2,0.01149,78082.01,0,0.6783603179936142,0
TXN-IN-100007,19.7,CPRA_1,0.00146,909050.33,0,0.7848811572203522,0
TXN-IN-100008,23.03,CPRA_1,0.00105,169222.19,0,0.3315530554410281,0
TXN-IN-100009,16.85,CPRA_1,0.00431,135394.0,0,0.6910993921601654,0
TXN-IN-100010,25.7,CPRA_1,0.00058,12362.0,1,0.5414170264995879,0
TXN-IN-100011,15.83,CPRA_1,0.00094,734196.7,0,0.9415092875969129,0
TXN-IN-100012,20.69,CPRA_1,0.00476,69271.44,1,0.623840421288442,0
TXN-IN-100013,19.96,CPRA_1,0.00062,25310.04,1,0.6668026789726116,0
TXN-IN-100014,15.5,CPRA_1,0.00367,107097.19,0,0.5317599398650024,0
TXN-IN-100015,21.23,CPRA_3,0.02281,77887.51,0,0.34588462514401386,0
TXN-IN-100016,17.17,CPRA_1,0.00416,10423.31,1,0.4752298194404669,0
TXN-IN-100017,14.43,CPRA_1,0.0001,445412.98,0,0.7424591370287991,0
TXN-IN-100018,22.08,CPRA_2,0.01426,724236.14,1,0.6636494208730241,0
TXN-IN-100019,13.45,CPRA_1,0.0021,5472163.9,1,0.2753302603739836,0
TXN-IN-100020,14.95,CPRA_1,0.00289,1912070.51,0,0.5525997986540666,0
TXN-IN-100021,18.31,CPRA_1,0.00353,1051965.98,0,0.9066628512877423,0
TXN-IN-100022,22.98,CPRA_3,0.02744,296889.66,1,0.4531534581960946,0
TXN-IN-100023,21.64,CPRA_2,0.01653,1189200.09,0,0.5433072876417566,0
TXN-IN-100024,19.24,CPRA_1,0.00225,144122.25,1,0.5468692885561532,0
TXN-IN-100025,12.8,CPRA_3,0.03502,127679.69,0,0.6366410574955295,0
TXN-IN-100026,15.66,CPRA_2,0.00285,800194.93,0,0.8500296058458573,0
TXN-IN-100027,16.46,CPRA_1,0.00272,307403.24,1,0.7748244804685477,0
TXN-IN-100028,14.3,CPRA_3,0.03756,108615.85,1,0.409532158643216,0
TXN-IN-100029,12.38,CPRA_1,0.00226,6048851.11,0,0.40440918475944676,0
TXN-IN-100030,18.55,CPRA_3,0.01902,9197.7,1,0.623773129221323,0
TXN-IN-100031,21.86,CPRA_1,0.00052,176908.34,1,0.685892848866044,0
TXN-IN-100032,16.15,CPRA_1,0.00102,386695.96,1,0.5161958345234363,0
TXN-IN-100033,22.88,CPRA_1,0.00433,1102516.21,1,0.8554932133970957,0
