trade_id,india_vix,cpra_grade,historical_fail_rate,trade_size_inr,epi_flag,peak_margin_utilization,settlement_fail
TXN-IN-100000,19.33,CPRA_2,0.01283,242437.13,0,0.2229,0
TXN-IN-100001,22.13,CPRA_1,0.00028,287065.42,1,0.8838,0
TXN-IN-100002,18.37,CPRA_1,0.00183,1238097.16,1,0.7588,0
TXN-IN-100003,17.64,CPRA_1,0.004,40255.3,1,0.5978,0
TXN-IN-100004,23.04,CPRA_3,0.04365,66782.94,0,0.6037,0
TXN-IN-100005,18.05,CPRA_2,0.00714,414152.79,0,0.5671,0
TXN-IN-100006,20.29,CPRA_2,0.01149,78082.01,0,0.6025,0
TXN-IN-100007,19.7,CPRA_1,0.00146,909050.33,0,0.755,0
TXN-IN-100008,23.03,CPRA_1,0.00105,169222.19,0,0.3352,0
TXN-IN-100009,16.85,CPRA_1,0.00431,135394.0,0,0.6983,0
TXN-IN-100010,25.7,CPRA_1,0.00058,12362.0,1,0.5965,0
TXN-IN-100011,15.83,CPRA_1,0.00094,734196.7,0,0.8605,0
TXN-IN-100012,20.69,CPRA_1,0.00476,69271.44,1,0.5733,0
TXN-IN-100013,19.96,CPRA_1,0.00062,25310.04,1,0.6269,0
TXN-IN-100014,15.5,CPRA_1,0.00367,107097.19,0,0.5364,0
TXN-IN-100015,21.23,CPRA_3,0.02281,77887.51,0,0.3641,0
TXN-IN-100016,17.17,CPRA_1,0.00416,10423.31,1,0.5132,0
TXN-IN-100017,14.43,CPRA_1,0.0001,445412.98,0,0.6709,0
TXN-IN-100018,22.08,CPRA_2,0.01426,724236.14,1,0.7543,0
TXN-IN-100019,13.45,CPRA_1,0.0021,5472163.9,1,0.247,0
TXN-IN-100020,14.95,CPRA_1,0.00289,1912070.51,0,0.6314,0
TXN-IN-100021,18.31,CPRA_1,0.00353,1051965.98,0,0.9168,0
TXN-IN-100022,22.98,CPRA_3,0.02744,296889.66,1,0.4544,0
TXN-IN-100023,21.64,CPRA_2,0.01653,1189200.09,0,0.6073,0
TXN-IN-100024,19.24,CPRA_1,0.00225,144122.25,1,0.5896,0
TXN-IN-100025,12.8,CPRA_3,0.03502,127679.69,0,0.6002,0
TXN-IN-100026,15.66,CPRA_2,0.00285,800194.93,0,0.7761,0
TXN-IN-100027,16.46,CPRA_1,0.00272,307403.24,1,0.7592,0
TXN-IN-100028,14.3,CPRA_3,0.03756,108615.85,1,0.4439,0
TXN-IN-100029,12.38,CPRA_1,0.00226,6048851.11,0,0.4528,0
TXN-IN-100030,18.55,CPRA_3,0.01902,9197.7,1,0.6608,0
TXN-IN-100031,21.86,CPRA_1,0.00052,176908.34,1,0.687,0
TXN-IN-100032,16.15,CPRA_1,0.00102,386695.96,1,0.5033,0
TXN-IN-100033,22.88,CPRA_1,0.00433,1102516.21,1,0.7941,0
TXN-IN-100034,13.2,CPRA_1,0.00313,600665.96,0,0.8967,0
TXN-IN-100035,14.14,CPRA_1,0.00144,329510.49,1,0.756,0
TXN-IN-100036,18.45,CPRA_3,0.0259,555351.98,0,0.7286,0
TXN-IN-100037,15.83,CPRA_1,0.00207,36398.42,1,0.5253,0
TXN-IN-100038,21.29,CPRA_1,0.00418,91610.95,1,0.4695,0
TXN-IN-100039,20.23,CPRA_1,0.00144,146530.35,0,0.6472,0
TXN-IN-100040,16.09,CPRA_1,0.00071,106020.72,0,0.8441,0
TXN-IN-100041,13.39,CPRA_1,0.00358,1022786.57,0,0.6945,0
TXN-IN-100042,15.67,CPRA_1,0.00391,874435.65,0,0.53,0
TXN-IN-100043,20.37,CPRA_1,0.00163,768634.38,0,0.5529,0
TXN-IN-100044,21.55,CPRA_1,0.00229,445683.25,0,0.5267,0
TXN-IN-100045,15.85,CPRA_1,0.00309,288387.5,0,0.8576,0
TXN-IN-100046,12.37,CPRA_1,0.00125,660716.89,0,0.6831,0
TXN-IN-100047,13.09,CPRA_3,0.04218,155191.38,1,0.4398,0
TXN-IN-100048,19.88,CPRA_1,0.0026,157225.93,0,0.5162,0
TXN-IN-100049,16.03,CPRA_1,0.00362,256761.21,1,0.3777,0
TXN-IN-100050,16.12,CPRA_2,0.0119,158910.6,0,0.4544,0
TXN-IN-100051,14.09,CPRA_2,0.0116,126912.09,1,0.5352,0
TXN-IN-100052,14.05,CPRA_1,0.00289,71673.09,0,0.5491,0
TXN-IN-100053,22.76,CPRA_1,0.00356,42307.95,0,0.6992,0
TXN-IN-100054,20.09,CPRA_2,0.01157,88481.97,0,0.576,0
TXN-IN-100055,15.2,CPRA_3,0.03324,124708.8,0,0.7221,0
TXN-IN-100056,18.08,CPRA_2,0.01402,113737.9,0,0.4636,0
TXN-IN-100057,18.93,CPRA_1,0.00205,69642.01,0,0.8604,0
TXN-IN-100058,29.08,CPRA_1,0.00106,758457.4,0,0.6348,0
TXN-IN-100059,13.84,CPRA_2,0.01193,239596.68,0,0.6923,0
TXN-IN-100060,18.86,CPRA_1,0.0025,888001.76,0,0.8783,0
TXN-IN-100061,22.72,CPRA_3,0.02702,2234075.68,1,0.5761,0
TXN-IN-100062,27.79,CPRA_1,0.00109,42236.52,1,0.5875,0
TXN-IN-100063,15.04,CPRA_3,0.03753,145002.98,0,1.1678,0
TXN-IN-100064,15.98,CPRA_2,0.00793,723557.55,0,0.527,0
TXN-IN-100065,21.35,CPRA_3,0.02327,31305.81,0,0.7093,0
TXN-IN-100066,12.77,CPRA_3,0.03781,261652.17,1,0.599,0
TXN-IN-100067,19.38,CPRA_1,0.00354,172558.16,1,0.6052,0
TXN-IN-100068,33.1,CPRA_2,0.01221,308911.61,1,0.8671,0
TXN-IN-100069,19.97,CPRA_1,0.00042,5370.46,1,0.4778,0
TXN-IN-100070,11.74,CPRA_1,0.00468,6442077.47,0,0.4781,0
TXN-IN-100071,14.46,CPRA_1,0.00275,175727.19,1,0.7585,0
TXN-IN-100072,15.14,CPRA_2,0.01656,20697.74,0,0.6143,0
TXN-IN-100073,24.44,CPRA_1,0.00073,407219.05,1,0.7777,0
TXN-IN-100074,16.97,CPRA_3,0.02747,119189.65,0,0.2488,0
TXN-IN-100075,12.39,CPRA_3,0.02905,14634.03,0,1.0776,0
TXN-IN-100076,17.46,CPRA_4,0.09254,2353529.52,0,0.7841,1
TXN-IN-100077,18.38,CPRA_1,0.00378,336092.28,0,0.4665,0
TXN-IN-100078,15.55,CPRA_1,0.00016,129700.31,0,0.5645,0
TXN-IN-100079,14.0,CPRA_3,0.025,185164.05,0,0.6218,0
TXN-IN-100080,34.57,CPRA_1,0.00493,273002.06,0,0.8584,0
TXN-IN-100081,22.75,CPRA_2,0.01862,34609.85,1,0.4128,0
TXN-IN-100082,23.42,CPRA_1,0.00407,471846.31,0,0.6318,0
TXN-IN-100083,16.98,CPRA_1,0.00136,191088.9,0,0.5387,0
TXN-IN-100084,14.99,CPRA_3,0.03346,50073.73,0,0.5651,0
TXN-IN-100085,15.72,CPRA_2,0.01647,8321650.84,0,0.7147,0
TXN-IN-100086,13.19,CPRA_1,0.00268,59950.89,0,0.6211,0
TXN-IN-100087,28.86,CPRA_2,0.01357,762999.86,0,1.2382,0
TXN-IN-100088,17.15,CPRA_1,0.0036,663504.49,1,0.6624,0
TXN-IN-100089,26.41,CPRA_2,0.02304,144219.93,1,0.6282,0
